"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 30 12:44:43 EEST 2021","Mon Aug 30 12:44:48 EEST 2021","5716","","a test suite","","a test suite","a test case_fullSreen","a test case_fullSreen",""
"passed","Mon Aug 30 12:44:48 EEST 2021","Mon Aug 30 12:44:57 EEST 2021","8401","","a test suite","","a test suite","a test case_ElemScroll","a test case_ElemScroll",""
